,Metro name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
33,Portland,,,,,,,,,,,,177.5833333,168.0833333,152.25,142.4166667,130.25,128.8333333,142.3333333,156.4166667,173,196.4166667,215.3333333,228.3333333,235.3333333
34,Providence,81.22222222,81.75,84.75,91.08333333,101.3333333,116.25,138.25,165.1666667,190.1666667,209.9166667,210.5,199.8333333,180.8333333,163.4166667,160.25,149.6666667,144,148.3333333,154.5,159.4166667,169.0833333,183.75,197.5833333,203.7777778
35,Raleigh,75,76.41666667,74.41666667,78.66666667,82.66666667,85.5,87.16666667,89.33333333,91.91666667,96.25,102.5,107.1666667,107.25,104.1666667,102,98.08333333,97.5,100.8333333,104.5,108.8333333,115.6666667,123.8333333,130.8333333,138.7777778
36,Richmond,60.11111111,61.75,65.83333333,68.33333333,71.91666667,75.91666667,81.41666667,87.83333333,98.25,113.5,126.5833333,130.9166667,125.6666667,117.5,112.4166667,104.1666667,101.6666667,104.25,107.75,110.3333333,116.0833333,123.1666667,129,134.6666667
37,Riverside,68.44444444,69.08333333,72.58333333,78.58333333,86.25,95.75,109.0833333,131.4166667,172.9166667,218.4166667,242.5833333,223.5,168.3333333,122.9166667,117.5,112.3333333,113.25,135.4166667,157.9166667,169.5,181.1666667,194,209.1666667,217.2222222
38,Rochester,60.44444444,60.41666667,60.41666667,62,64.33333333,67,69.5,72.33333333,74.66666667,77.58333333,79.75,81.25,81.83333333,81.75,83,81.41666667,81.33333333,82.66666667,84,85.33333333,88.58333333,93.83333333,97.58333333,102.4444444
39,Sacramento,81.55555556,82.16666667,86.25,92.91666667,105.5,123.9166667,142,166.25,203.0833333,246.4166667,246.25,218.75,174.5833333,149.5,138.5833333,125.5,125.5,153.4166667,172.5,185.1666667,200.8333333,220.75,235.8333333,244.4444444
40,Salt Lake City,108,111.3333333,114.6666667,116,121,125,126,125.8333333,127.6666667,131.25,148.25,179.8333333,188.75,175.0833333,163.0833333,148,146.5,163,172.8333333,182.8333333,199.1666667,220.8333333,246.5,267.7777778
41,San Antonio,,56.4,57.16666667,59.33333333,60.5,59.16666667,59.91666667,62.16666667,67.33333333,71.33333333,75.33333333,80.91666667,80.91666667,78,78.16666667,76.5,76.75,78.66666667,81.91666667,87.75,93.58333333,100.9166667,109.3333333,114.7777778
42,San Diego,102.8888889,105.1666667,116.3333333,129.5,150.6666667,173,202.1666667,242.25,306.75,341.8333333,337.4166667,313.1666667,265.25,230.0833333,228.25,216.1666667,217,253.5833333,281.25,298.5,320.25,345.25,368.8333333,375.6666667
43,San Francisco,145.2222222,153.6666667,173.1666667,195.0833333,245.1666667,278.5,295.3333333,321.25,370.0833333,438.9166667,452.25,436.75,374.25,328,323.6666667,300.6666667,309.5,373.5833333,423.4166667,474.8333333,514.5833333,555.4166667,606.6666667,604.5555556
44,San Jose,160.2222222,177.4166667,204.25,229.25,301.5833333,324.0833333,325,335.25,378.3333333,451.0833333,474,476.4166667,425.8333333,364.9166667,363.8333333,346.8333333,366.6666667,437.4166667,490.8333333,559.25,604.1666667,666.4166667,777.8333333,737
45,Seattle,94.22222222,99.16666667,107.8333333,117.5833333,126.8333333,133.75,139.4166667,146.1666667,158.75,183.75,214.5,229.5,215.4166667,190.9166667,175.5833333,157.6666667,153.3333333,169.5833333,186.5833333,206.1666667,233.9166667,268.3333333,294.1666667,301.4444444
46,St. Louis,64.22222222,67.16666667,70.41666667,73.75,78.75,84.08333333,90.08333333,96.16666667,101.9166667,107.75,113.6666667,115.4166667,112.5833333,107.9166667,105.0833333,99.41666667,96.08333333,97,99.25,103.5833333,108.75,113.9166667,120.4166667,124
47,Tampa,49.88888889,51.58333333,53.91666667,58.33333333,63.66666667,69.5,75.33333333,83.16666667,96.5,121.75,143.5833333,134.0833333,111.1666667,89.83333333,81.5,72.33333333,71.5,77.41666667,86.33333333,94.5,106.4166667,120.1666667,132,138.5555556
48,Virginia Beach,58.33333333,59.33333333,62.58333333,64.5,67,70.83333333,76.16666667,84.5,101.1666667,126.5,142.5833333,146.9166667,142.3333333,135.3333333,130.6666667,122,117.9166667,118.25,119.9166667,122,124.4166667,129,132.8333333,136.2222222
49,Washington,95.44444444,96.16666667,97.66666667,102.3333333,110.75,125,143.4166667,164.6666667,199.6666667,248.5,263.4166667,252.5,223.0833333,195.5,187.5833333,183.25,185.3333333,197.6666667,207.4166667,212.1666667,217.6666667,227.1666667,237.1666667,243.4444444
