,Listings Price Cut Perc Change,New Monthly Listings,Days on Market Perc Change,Buyer Seller Index Cross Geo,Days on Zillow,House Price Index,New Monthly Listings Perc Change,Median Sale Price Perc Change,Inventory Perc Change,Median Sale Price,Unemployment Rate,Real Per Capita Personal Income,Homes Sold,Listings Price Cut,SPY,Homes Sold Perc Change,Buyer Seller Index Cross Time,Median Value Per Square Feet,Employees Total Nonfarm,Resident Population,Days on Market,Inventory,Building Units,Sale to List Ratio,change next year,change 2 years,change 3 years,Metro name
2010,,,,7.715,99.83333333,118.2574314,,-0.042,,202375.0,12.4,41839.0,2579.583333333333,13.59078555,0.14306958547498816,-0.127,0.935,138.58333330000002,831.4,2153.656,,,2702.0,0.9480108420000001,0.944634747,0.9820368509999999,0.9936344859999999,Sacramento
2010,,,,7.34,100.0,166.8918624,,-0.017,,366033.33333333326,12.5,40046.0,8643.0,14.7903973175,0.14306958547498816,-0.139,1.775,269.25,5296.2,12838.992,,,10394.0,0.9601598140000001,0.945059643,0.967694952,0.994375476,Los Angeles
2010,,,,5.28,119.125,129.0938571,,0.023,,314225.0,8.1,54647.0,3516.583333333333,14.604914910000002,0.14306958547498816,-0.217,1.495,198.25,2431.2,4566.4490000000005,,,6672.0,0.9312749090000001,0.929711324,0.943271649,0.963214336,Boston
2010,,,,8.63,75.83333333,110.76255249999998,,0.013000000000000001,,502475.0,10.5,52355.0,1417.583333333333,13.7469219725,0.14306958547498816,-0.16,1.26,363.8333333,873.7,1841.596,,,4179.0,0.973808844,0.9670787820000001,0.999445687,1.0267886290000001,San Jose
2010,,,,2.28,150.66666669999998,117.01231000000001,,,,,9.8,45625.0,,13.9895940675,0.14306958547498816,,0.98,74.16666667,496.6,1128.714,,,1924.0,0.902318333,0.899945845,0.917650567,0.935905694,Birmingham
2010,,,,4.435,114.75,136.46951819999998,,-0.045,,295650.0,9.7,47666.0,2979.666666666666,15.6619282825,0.14306958547498816,-0.162,0.23,175.58333330000002,1667.4,3449.275,,,10040.0,0.922792631,0.9238034140000001,0.958246018,0.9862065790000001,Seattle
2010,,,,1.53,149.91666669999998,166.8480612,,-0.121,,199816.66666666663,8.1,46942.0,2263.4166666666665,15.97567623,0.14306958547498816,-0.17300000000000001,1.355,165.16666669999998,1272.8,2715.7259999999997,,,5594.0,0.9184967709999999,0.913230875,0.935250635,0.9542044390000001,Baltimore
2010,,,,7.155,93.83333333,143.1920771,,0.028999999999999998,,332108.33333333326,10.8,39147.0,2827.583333333333,17.078926565,0.14306958547498816,-0.19,1.775,228.25,1240.7,3103.3059999999996,,,3494.0,0.9587426929999999,0.9394881620000001,0.963029956,0.9852307029999999,San Diego
2010,,,,8.525,80.83333333,116.45000520000002,,-0.008,,419541.66666666674,9.9,53064.0,3885.75,12.650540347500002,0.14306958547498816,-0.142,1.215,323.6666667,1926.7,4343.782,,,4621.0,0.964833528,0.95392353,0.9916746329999999,1.028310279,San Francisco
2010,,,,2.11,116.70833329999999,140.6773197,,,,,7.2,40133.0,2015.5,12.7826985825,0.14306958547498816,-0.12300000000000001,0.465,78.16666667,855.0,2153.038,,,6865.0,0.985004213,0.990207871,0.994848725,0.9908617609999999,San Antonio
2010,,,,4.985,111.08333329999999,129.7118824,,,,,7.0,43390.0,1842.916666666667,13.9819786725,0.14306958547498816,-0.177,0.42,102.58333329999999,785.5,1727.5279999999998,,,8786.0,1.068875825,1.061932597,1.0761100590000001,1.052998853,Austin
